UTRR,UTerr_R,UTSig_adjust_R,UTICl_R,UTICu_R,ID,Kingdom,Phylum,Class,Order,Family,Genus
0,0,0,0,0,ASV_518,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
0,0,0,0,0,ASV_520,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA
0,0,0,0,0,ASV_521,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula
0,0,0,0,0,ASV_522,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
0,0,0,0,0,ASV_528,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Telluria
0,0,0,0,0,ASV_531,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
0,0,0,0,0,ASV_532,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Nitrobacter
0,0,0,0,0,ASV_537,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
0,0,0,0,0,ASV_538,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,NA
0,0,0,0,0,ASV_539,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA
0,0,0,0,0,ASV_540,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA
0,0,0,0,0,ASV_541,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,Desulfosporosinus
-5.638354669,4.2822904,1,-9.92064507,-1.356064269,ASV_542,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,NA
